movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
M. Butterfly,"David Henry Hwang adapted his Tony Award-winning play for this fact-based drama about a French diplomat who enters into a torrid love affair with a star of the Chinese opera. What he doesn't realize, however, is that his beloved is a double agent for the Red Chinese -- and that ""she"" is actually a man in disguise.",,R,"Action & Adventure, Drama, Mystery & Suspense",David Cronenberg,David Henry Hwang,"Jeremy Irons, John Lone, Barbara Sukowa, Ian Richardson, Annabel Leventon, Shizuko Hoshi, Richard McMillan, Deirdre Bowen, Vernon Dobtcheff, David Hemblen, Damir Andrei, Antony Parr, Margaret Ma, Tristram Jellinek, Philip McGough, David Neal, Sean Hewitt (II), Peter Messaline, Michael Mehlman, Barbara Chilcott, George Jonas, Carl Zvonkin, Viktor Fulop, Cadman Chui, Harriet Chung, Monica Gan, Ayumi Komoda, Tammy Lok, Tracey Oh, Carly Wong Tung Fa, Maria Teresa Uribe",1993-10-01,2006-05-18,100.0,Warner Home Video,Rotten,43,21,67.0,5322.0
This Old Cub,"On a baseball team not often cited for its great players, Ron Santo was a hero and a legend. As a third baseman for the Chicago Cubs, Santo played 14 seasons (1960 through 1974), made the All-Star team nine times, earned five Gold Gloves, and in 1965 became the team's youngest ever captain. While Santo was establishing himself as one of the Cub's greatest players, he was also hiding a secret -- in 1958, the same year Ron signed with the Cubs organization, he was diagnosed with diabetes, but refused to tell his fellow players or the team's physicians for fear of being bumped from the team. In 1971, as the Cubs celebrated Ron Santo Day at Wrigley Field, the baseball great finally went public with his condition, becoming a leading Midwest spokesman and fundraiser for the Juvenile Diabetes Research Foundation. In 1990, Santo renewed his association with the Chicago Cubs as a commentator for the team's home games on radio station WGN, and in 2003, he became one of only three Cubs players to have their number officially retired. This Old Cub is a documentary about Ron Santo's remarkable life and career, not only examining his years as a player and broadcaster, but his longtime struggle with the disease that has cost him a leg but has failed to break his spirit, and the crusade by fans and admirers to see Santo inducted into the Baseball Hall of Fame. Noted Cubs enthusiasts Bill Murray, Dennis Franz, and Gary Sinese, and baseball legends Ernie Banks, Johnny Bench, Willie Mays, and Tommy Lasorda are interviewed onscreen; actor Joe Mantegna narrates.",,NR,"Documentary, Musical & Performing Arts, Special Interest, Sports & Fitness",Jeff Santo,"Jeff Santo, Tim Comstock","Joe Mantegna, Bill Murray, Brian Doyle-Murray, Joel Murray, Dennis Farina, Gary Sinise, Dennis Franz, William Petersen, Chris Berman, Ron Santo, Ernie Banks, Johnny Bench, Brooks Robinson, Tommy Lasorda, Willie Mays, Willie McCovey, Joe Morgan",2004-03-26,2005-08-02,86.0,Emerging Pictures,Fresh,74,19,85.0,953.0
Six Million and One,"Past present and future mix in this eloquent, intense and surprisingly humorous portrait of documentary filmmaker David Fisher and his siblings, as they retrace the footsteps of their late father-a Holocaust survivor who was interned in Gusen and Gunskirchen, Austria. David's journey takes him to the U.S., where he meets American WWII veterans who participated in the liberation of his father and Gunskirchen camp. This sparks a remarkable journey to Austria by the Fisher siblings. They joke, kibitz and quarrel, and remind us that history and memory require active discussion among the later generations. -- (C) Official Site",,NR,"Documentary, Special Interest",David Fisher,David Fisher,"Christian Durr, Renate Heigel, Sieglinde Witzany-Durde, Rudolf Haunschmied, Mickey Dorsey, George Patton Waters, William Juksch, Peter Carnabuci, Emanuel Brandstaetter, Wolfgang Schmutz, Martin Scheiber",2012-09-28,2014-01-27,97.0,Nancy Fishman Film Releasing,Fresh,90,10,80.0,126.0
The Departed,"Legendary director Martin Scorsese takes the helm for this tale of questionable loyalties and blurring identities set in the South Boston organized crime scene and inspired by the wildly popular 2002 Hong Kong crime film Infernal Affairs. As the police force attempts to reign in the increasingly powerful Irish mafia, authorities are faced with the prospect of sending in an undercover agent or seeing their already frail grip on the criminal underworld slip even further. Billy Costigan (Leonardo DiCaprio) is a young cop looking to make a name for himself in the world of law enforcement. Collin Sullivan (Matt Damon) is a street-smart criminal who has successfully infiltrated the police department with the sole intention of reporting their every move to ruthless syndicate head Frank Costello (Jack Nicholson). When Costigan is assigned the task of working his way into Costello's tightly guarded inner circle, Sullivan is faced with the responsibility of rooting out the informer before things get out of hand. With the stakes constantly rising and time quickly running out for the undercover cop and his criminal counterpart, each man must work feverishly to reveal his counterpart before his identity is exposed by the other. Martin Sheen, Alec Baldwin, and Ray Winstone co-star, and writer William Monahan adapts a screenplay originally penned by Alan Mak and Felix Chong. ~ Jason Buchanan, Rovi","Featuring outstanding work from an excellent cast, The Departed is a thoroughly engrossing gangster drama with the gritty authenticity and soupy morality we come to expect from Martin Scorsese.",R,"Action & Adventure, Drama, Mystery & Suspense",Martin Scorsese,"William Monahan, Martin Scorsese","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Farmiga, Alec Baldwin, Anthony Anderson, Kevin Corrigan, James Badge Dale, David O'Hara, Mark Rolston, Gerard McSorley, Robert Wahlberg, Kristen Dalton, J.C. MacKenzie, Mary Klug, Saurman Holzemer Peg, Robert 'Toshi' Kar Yuen Chan, Gurdeep Singh, Armen Garo, John Cenatiempo, Joseph Riccobene, Billy Smith, Lyman Chen, Kevin P. McCarthy, Chris Fischer, Brian Smyj, William Severs, Larry Mitchell, Anthony Estrella, Andrew Breving, Tracey Paleo, Douglas Crosby, Conor Donovan, Amanda Lynch, Sallie Toussaint, Patrick Coppola, Mick O'Rourke, Deborah Carlson, Nellie Sciutto, Peter Welch II, Henry Yuk, Joseph Reidy, Tom Kemp, Zachary Pauliks, Paula Demers, Buddy Dolan, Thomas B. Duffy, Paris Karounos",2006-10-06,2007-02-13,152.0,Warner Bros. Pictures,Certified Fresh,91,277,94.0,737217.0
Attack of the 50 Foot Woman,"Attack of the 50 Foot Woman may well be one of the worst science-fiction films of all time, but that's not to say that it isn't thoroughly enjoyable. Allison Hayes achieved screen immortality as Nancy Archer, the wealthy, dipsomaniac wife of shameless philanderer Harry Archer (William Hudson). When she witnesses the crash landing of a alien spaceship -- whose occupant is a 30-foot giant, dressed in the manner of a medieval Frenchmen! -- Nancy goes to the local sheriff (George Douglas) with her story, only to be laughed off as a drunken crank. Even the local TV anchorman makes cruel fun of Nancy on his nightly newscast. Meanwhile, hubby Harry is making whoopee at a roadhouse with his latest tootsie, Honey Parker (Yvette Vickers). Not long afterward, Nancy, who's been exposed to the radiation of the spaceship, begins to feel queasy. Within a few days, she has grown to the height of 50 feet and is lumbering around the countryside clad only in a gigantic towel, smashing houses and trees in search of her faithless husband (""HARRY-HARRY!!!"") Hilarious in its ineptitude (the special effects are particularly shoddy), Attack of the 50 Foot Woman is impossible to dislike, which cannot be said of its slicker but less entertaining 1993 cable-TV remake (with Darryl Hannah in the title role). ~ Hal Erickson, Rovi",,PG,"Classics, Science Fiction & Fantasy",Nathan Juran,Mark Hanna,"Allison Hayes, William Hudson, Yvette Vickers, Roy Gordon, George Douglas, Ken Terrell, Otto Waldis, Eileen Stevens, Michael Ross, Mike Ross, Frank Chase",1958-01-01,2007-06-26,65.0,Allied Artists Pictures,Fresh,75,12,21.0,8576.0
Lionheart,"After his brother is badly beaten by a street gang, Jean-Claude Van Damme deserts the foreign legion in order to avenge his honor in this action film also known as A.W.O.L. and Wrong Bet. ~ Jason Ankeny, Rovi",,R,Action & Adventure,Sheldon Lettich,"R.N. Warren, Sheldon Lettich, Jean-Claude Van Damme","Jean-Claude Van Damme, Harrison Page, Deborah Rennard, Lisa Pelikan, Ashley Johnson, Brian Thompson, Denis Akiyama Voyo, Michael Qissi, Michael M. Foley, George McDaniel, Jason Adams, Eric Karson, William Terry Amos, Roz Bosley, Dennis Wayne Rucker, Billy Blanks, Stefanos Miltsakakis, Lew Hopson, Sebastian Massa, Roger Etienne, Dennis Rucker, Douglas DuVal, Lawrence Bender, Tracy Shakespeare, Leonard Gaines, Lonnie Burr, Christopher M. Brown, Loren Freeman, Tony Valentino, Clement von Franckenstein, Roger La Page, Christopher Nixon, Eduardo Ricard, Julie Rudolph, Micheline Lettich, Galen Yuen, Jeff Speakman, Steven R. Purwin, Freeman King, Scott Spiegel, Marc D. Williams, Mark DeAlessandro, James Brewster Thompson, Tony ""Satch"" Williams, Jeff Langton, Stuart Wilson, Magic Schwartz, Paco Christian Prieto, Abdel Qissi, Lindsey Carlos, Maurice Lamont, Sifu Williams, Thunder Wolf, Carlton Holder, Michael Foley, A.D. Muyich, Donald Pike, Dean Milor Thomas",1991-01-11,1998-09-08,105.0,MCA Universal Home Video,Rotten,27,15,52.0,15367.0
Don't Stop Believin': Everyman's Journey,"Don't Stop Believin': Everyman's Journey, is a feature length documentary film about the iconic 80's band, Journey, and their new lead singer, Arnel Pineda, whom they discovered through YouTube. -- (C) Official Site","An energetic but thin portrait of the venerable rock band Journey, Don't Stop Believin' gets a boost from new singer Arnel Pineda's charming personality.",R,"Documentary, Musical & Performing Arts",Ramona S. Diaz,Ramona S. Diaz,"Deen Castronovo, Arnel Pineda, Jonathan Cain, Neil Schon, Ross Valory",2013-03-08,2013-08-19,113.0,Cinedigm Entertainment/Docurama,Fresh,64,45,73.0,789.0
Days of Wine and Roses,"This thoroughly depressing drama concerns the battles of a young couple against the insidiousness of alcohol addiction. Joe (Jack Lemmon) and Kirsten (Lee Remick) are young newlyweds with a seemingly bright future. Joe is an up and coming public relations worker with a promising career. When the pressures of the job become too much, he takes solace inside a bottle of booze. Kirsten joins the party in order to relate to her husband, and the two get down to some brain cell killing, liver damaging drinking that would make F. Scott Fitzgerald and W. C. Fields blush. Joe's career takes a decidedly downward turn, losing his job as the couple continues to tip more than a few. They move in Kirsten's father, who owns a greenhouse. After a night of drinking, Kirsten reveals she hid a bottle hidden under one of the greenhouse plants. In a terrifying scene, Joe tears up all the plants trying to unearth the hidden bottle, ruining his father-in-law's budding plants. Joe also goes through withdrawals in a mental hospital in yet another disturbing scene of horrible alcohol addiction. He seeks help from a 12 step group, but Kirsten can't shake the grip of demon alcohol. By now, the couple has a young daughter, and a sober Joe realizes he may have to leave the woman he loves when she becomes hopelessly addicted. The title song by Johnny Mercer and Henry Mancini won an Academy Award. while Lemmon and Remick received well deserved nominations for their gripping portrayals of the tortured couple whose lives are ruined by booze.",,NR,"Classics, Drama",Blake Edwards,J.P. Miller,"Jack Lemmon, Lee Remick, Charles Bickford, Jack Klugman, Alan Hewitt, Tom Palmer, Debbie Megowan, Maxine Stuart, Katherine Squire, Jack Albertson, Ken Lynch, Gail Bonney, Olan Soule, Mary Benoit, Ella Ethridge, Rita Kenaston, J. Pat O'Malley, Robert ""Buddy"" Shaw, Al Paige, James Lanphier, Doc Stortt, Jack Riley, Rus Bennett, Dick Crockett, Roger Barrett, Jack Railey, Lisa Guiraut, Carl Arnold, Tom Rosqui, Barbara Hines, Charlene Holt",1962-12-26,2004-01-06,138.0,WARNER BROTHERS PICTURES,Fresh,100,10,89.0,2546.0
Who's Afraid of Virginia Woolf?,"In this film, married couple George and Martha know just how to push each other's buttons. Tiring of attacking each other, George and Martha invite newcomers to join in the invective. After an evening of sadistic ""fun and games,"" the truth about George and Martha's son comes to light.","Led by a volcanic performance from Elizabeth Taylor, Who's Afraid of Virginia Woolf? is a scathing adaptation of the Edward Albee play that serves as a brilliant calling card for debuting director Mike Nichols.",R,"Classics, Drama",Mike Nichols,Ernest Lehman,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis",1966-06-22,1999-05-18,127.0,Warner Home Video,Certified Fresh,95,42,91.0,21620.0
Last Flag Flying,"In 2003, 30 years after they served together in the Vietnam War, former Navy Corps medic Richard ""Doc"" Shepherd (Steve Carell) re-unites with Former Marines Sal (Bryan Cranston) and Richard Mueller (Laurence Fishburne) on a different type of mission: to bury Doc's son, a young Marine killed in the Iraq War. Doc decides to forgo a burial at Arlington Cemetery and, with the help of his old buddies, takes the casket on a bittersweet trip up the East Coast to his home in suburban New Hampshire. Along the way, Doc, Sal and Mueller reminisce and come to terms with shared memories of the war that continues to shape their lives. Director Richard Linklater and author Darryl Ponicsan collaborated on the screenplay which follows the trio as they wrestle with the pangs of war both past and present.","Last Flag Flying balances raw drama against refreshing moments of humor in an impeccably cast film that wrestles with questions of patriotism, family, and grief.",R,"Comedy, Drama",Richard Linklater,"Richard Linklater, Darryl Ponicsan","Steve Carell, Bryan Cranston, Laurence Fishburne, Yul Vázquez, J. Quinton Johnson, Cicely Tyson",2017-11-03,2018-01-30,124.0,Amazon Studios,Certified Fresh,78,209,71.0,4153.0
ABCs of Death 2,"ABC's OF DEATH 2 is the follow-up to the most ambitious anthology film ever conceived with productions spanning from Nigeria to UK to Brazil and everywhere in between. It features segments directed by over two dozen of the world's leading talents in contemporary genre film. The film is comprised of twenty-six individual chapters, each helmed by a different director assigned a letter of the alphabet. The directors were then given free rein in choosing a word to create a story involving death. Provocative, shocking, funny and at times confrontational, ABC's OF DEATH 2 is another global celebration of next generation genre filmmaking. (C) Magnet Releasing","ABCs of Death 2 delivers some inventively gory thrills, offering a surprising (albeit still somewhat uneven) upgrade over its predecessor.",NR,Horror,"Ahron Keshales, Navot Papushado, Bill Plympton, Chris Nash, Dennison Ramalho, Erik Matti, E.L. Katz, Hajime Ohata, Jen Soska, Sylvia Soska, Jerome Sable, Jim Hosking, Juan Martínez Moreno, Julian Barratt, Julian Gilbey, Alexandre Bustillo, Julien Maury, Kristina Buozyte, Bruno Samper, Lancelot Imasuen, Alejandro Brugués, Larry Fessenden, Marvin Kren, Rob Boocheck, Robert Morgan, Rodney Ascher, Sôichi Umezawa, Steven Kostanski, Todd Rohal, Vincenzo Natali, Lancelot Oduwa Imasuen",,"Beatrice Dalle, Victoria Broom, Andy Nyman, Martina Garcia",2014-10-31,2015-02-03,125.0,Magnet Releasing,Fresh,73,33,39.0,1437.0
"20,000 Days on Earth","Drama and reality combine in a fictitious 24 hours in the life of musician and international cultural icon, Nick Cave. With startlingly frank insights and an intimate portrayal of the artistic process, the film examines what makes us who we are, and celebrates the transformative power of the creative spirit. (c) Drafthouse","Revealing yet respectful, 20,000 Days on Earth is essential viewing for any Nick Cave fan.",NR,"Documentary, Musical & Performing Arts, Special Interest","Iain Forsyth, Jane Pollard","Iain Forsyth, Jane Pollard, Nick Cave","Nick Cave, Warren Ellis, Kylie Minogue, Ray Winstone, Darian Leader, Blixa Barjeld, Blixa Bargeld, Janine Barrand, Thomas Wydler, Martyn Casey, Conway Savage, Jim Sclavunos, Barry Adamson, George Vjestica",2014-09-17,2014-11-18,97.0,Drafthouse Films,Certified Fresh,95,85,79.0,4555.0
Gran Torino,"A racist Korean War veteran living in a crime-ridden Detroit neighborhood is forced to confront his own lingering prejudice when a troubled Hmong teen from his neighborhood attempts to steal his prized Gran Torino. Decades after the Korean War has ended, ageing veteran Walt Kowalski (Clint Eastwood) is still haunted by the horrors he witnessed on the battlefield. The two objects that matter most to Kowalski in life are the classic Gran Torino that represents his happier days working in a Ford assembly plant, and the M-1 rifle that saved his life countless times during combat. When Kowalski's teenage neighbor (Bee Vang) attempts to steal his Gran Torino as part of a gang initiation rite, the old man manages to catch the aspiring thief at the business end of his well-maintained semi-automatic rifle. Later, due to the pride of the Asian group, the boy is forced to return to Kowalski's house and perform an act of penance. Despite the fact that Kowalski wants nothing to do with the young troublemaker, he realizes that the quickest way out of the situation is to simply cooperate. In an effort to set the teen on the right path in life and toughen him up, the reluctant vet sets him up with an old crony who now works in construction. In the process, Kowalski discovers that the only way to lay his many painful memories to rest is to finally face his own blinding prejudice head-on. ~ Jason Buchanan, Rovi","Though a minor entry in Eastwood's body of work, Gran Torino is nevertheless a humorous, touching, and intriguing old-school parable.",R,Drama,Clint Eastwood,Nick Schenk,"Clint Eastwood, Bee Vang, Ahney Her, Christopher Carley, Brian Haley, Geraldine Hughes, Brian Howe, Dreama Walker, William Hill, John Carroll Lynch, Brooke Chia Thao, Chee Thao",2009-01-09,2009-06-09,130.0,Warner Bros. Pictures/Village Roadshow,Certified Fresh,81,232,90.0,332242.0
Casey's Shadow,"Cajun quarter-horse trainer Lloyd Bourdelle (Walter Matthau) struggles to eke out a decent living for himself and his three sons Buddy, Randy and Casey (Andrew A. Rubin, Stephen Burns and Michael Hershewe). Their prize horse is thoroughbred foal Casey's Shadow, named after the youngest son (Hershewe). The question is whether or not Lloyd, a life-long loser, can take advantage of the opportunity for bettering his lot afforded by Casey's Shadow. Alexis Smith co-stars as Sarah Blue, a wealthy woman who becomes Matthau's strongest ally when she offers to buy the horse rather than allow the vindictive Mike Marsh (Robert Webber) to destroy it.",,PG,"Action & Adventure, Comedy, Drama, Kids & Family",Martin Ritt,Carol Sobieski,"Walter Matthau, Alexis Smith, Robert Webber, Andrew A. Rubin, Murray Hamilton, Andrew Rubin, Stephen W. Burns, Susan Myers, Michael Hershewe, Harry Caesar, Joel Fluellen, Whit Bissell, Jim Halty, William Pitt, Dean Turpitt, Sanders Delhomme, James M. Halty, Richard Thompson, Galbert Wanoskia, William Karn, Ed Hyman, Thomas Caldwell, Bill Tackett, Tom Dawson, William Thomas, Robert Dudich, Warren Richardson, Ronald L. Schwary, Justin Buford, Dean Cormier, Thelma Cormier, Ronald Benoit, Norman Faulk, Gene Norman, Paul Uccello, W. Patrick Scott, Leonard Blach, James Hutchinson Jr.",1978-03-17,2003-09-09,117.0,Sony Pictures Entertainment,Fresh,78,9,73.0,1193.0
Sword Master,"In this beautifully shot wuxia epic, a powerful swordsman is haunted by the destructive impact his deadly talents have on others. Weary of the bloodshed and violence from the martial arts world, he banishes himself to the humble life a vagrant, wandering the fringes of society. But his violent past refuses to let him go quietly. The master swordsman must regain the ability to wield his sword and fight those disrupting the peace he so desperately craves.",,NR,"Action & Adventure, Drama",Derek Yee,"Hark Tsui, Derek Yee, Chun Tin-nam","Kenny Lin, Peter Ho Yun Tung, Meng-Jie Jiang, Jiang Mengjie, Yiyan Jiang, Gu Caobin, Nina Paw Hee Ching, Henry Fong",2016-12-09,2017-04-11,108.0,Bona Film Group Limited,Fresh,67,12,57.0,384.0
Friday the 13th,"In this re-imagining of the classic horror film, Clay searches for his missing sister in the eerie woods of legendary Crystal Lake, where he stumbles on the creaky remains of rotting old cabins behind moss-covered trees. And, that's not the only thing lying in wait under the brush. Against the advice of police and cautions from the locals, Clay pursues what few leads he has, with the help of a young woman he meets among a group of college kids up for an all-thrills weekend. But, they are about to find much more than they bargained for. Little do they know, they've entered the domain of one of the most terrifying specters in American film history-the infamous killer who haunts Crystal Lake, armed with a razor-sharp machete--Jason Voorhees.","Though technically well-constructed, Friday the 13th is a series rehash that features little to distinguish it from its predecessors.",R,"Horror, Mystery & Suspense",Marcus Nispel,"Damian Shannon, Mark Swift","Jared Padalecki, Danielle Panabaker, Amanda Righetti, Travis Van Winkle, Aaron Yoo, Derek Mears, Jonathan Sadowski, Julianna Guill, Ben Feldman, Arlen Escarpeta, Ryan Hansen, Willa Ford, Nick Mennell, Kyle Davis, America Olivo, Richard Burgi",2009-02-13,2009-06-16,98.0,Warner Bros. Pictures/New Line/Paramount,Rotten,26,172,46.0,221361.0
Proof of Life,"A woman whose marriage is in trouble finds herself falling for a new man as her husband's life hangs in the balance in this thriller. Peter Bowman (David Morse) and his wife Alice (Meg Ryan) have relocated to a small Latin American nation called Tecala; Peter works for an American engineering and construction firm, and his latest assignment has him building a dam that is intended to bring power to the developing nation. The ELT is a radical Marxist faction gearing up for political revolution in Tecala that has turned to kidnapping as a way to raise capital, and Peter is chosen as its next target. When Peter is ambushed on his way to work, his firm brings in Terry Thorn (Russell Crowe), a former Australian intelligence operative who now works as a private ""kidnapping and ransom"" negotiator. Alice is told Terry is her best hope for bringing Peter back safe and sound, but when Terry's employers run into a tight squeeze financially, they cancel their K&R insurance (which is considered a standard benefit for American employees assigned to South America), leaving Alice to rehire Terry on her own, especially since she can't possibly pay the $3 million ransom demanded by the kidnappers. As Terry and his partner Dino (David Caruso) map out a rescue plan, Alice and Terry find themselves increasingly attracted to each other. Alice's marriage to Peter was going through a rough patch when he was kidnapped, and while she's deeply concerned for his safety, she must reconcile her fears for Peter's life with her new feelings for Terry. Proof of Life is based on Adventures in the Ransom Trade, an article by journalist William Prochnau that was published in Vanity Fair, as well as on the case of real-life kidnapping victim Tom Hargrove. ~ Mark Deming, Rovi","Despite its promising premise and superstar cast, Proof of Life is just a routine thriller that doesn't offer anything new.",R,"Action & Adventure, Drama, Mystery & Suspense, Romance",Taylor Hackford,Tony Gilroy,"Meg Ryan, Russell Crowe, David Morse, David Caruso, Pamela Reed, Michael Kitchen, Anthony Heald, Stanley Anderson, Gottfried John, Alun Armstrong, Margo Martindale, Mario Ernesto Sánchez, Pietro Sibille, Vicky Hernandez, Vicky Hernandez, Norma Martinez, Diego Trujillo, Aristoteles Picho, Sarahi Echeverria, Carlos Blanchard, Raúl Rodríguez Peila, Mauro Cueva, Alejandro Cordova, Sandro Bellido, Miguel Iza, Roberto Frisone, Tony Vasquez, Claudia Dammert, Rowena King, Michael Byrne, Jaime Zevallos, Gilberto Torres, Flora Martinez, Laura Escobar, Marcos Bustos, Jorge Medina, Gerard Naprous, Alexander Balueyev, Dimitri Shevchenko, Zbigniew Zamachowski, Said K. Saralijen, Oscar Carrillo, Pedro Martinez Laya, Wolframio Benavides, Alonso Alegria, Merlin Hanbury-Tenison, Stefan Gryff, Yolanda Vazquez",2000-12-08,2001-06-19,136.0,Warner Bros. Pictures,Rotten,39,117,43.0,47146.0
The Haunting of Molly Hartley,"Go and Broken Hearts Club producer Mickey Liddell makes his feature directorial debut with this suspense thriller about a high-school student who arrives in a new town only to find that her frightful past won't be forgotten so easily. Molly Hartley (Haley Bennett) was all ready for a fresh start in life, and kindly classmate Joseph (Chace Crawford) was more than willing to help out by showing her the ropes around school. But Molly Hartley is a girl with a sinister secret. Only when she discovers the truth about who she really is will she finally understand what she might one day become. ~ Jason Buchanan, Rovi","The Haunting of Molly Hartley is a rather lifeless horror endeavor, with a pedestrian plot and few scares.",PG-13,"Drama, Mystery & Suspense",Mickey Liddell,"John Travis, Rebecca Sonnenshine","Haley Bennett, Chace Crawford, AnnaLynne McCord, Shannon Woodward, Jake Weber, Shanna Collins, Hayley Bennett, Nina Siemaszko, Marin Hinkle, Jessica Lowndes, Ron Canada, Kevin Cooney, Ross Thomas",2008-10-31,2009-02-24,86.0,Freestyle Releasing,Rotten,3,40,18.0,62305.0
Wichita,"In this western, almost-mythical lawman Wyatt Earp is hired to bring peace and justice to a wild, wooly cattle town. First Earp bans the possession of firearms within the city limits. This makes him most unpopular until the banker's wife is shot and killed. The ploy works and the town becomes peaceful. Then Earp begins trying to oust the local outlaw leader. Mayhem ensues but justice prevails.",,NR,"Action & Adventure, Classics, Western",Jacques Tourneur,"Daniel B. Ullman, Dan Ullman","Joel McCrea, Vera Miles, Lloyd Bridges, Wallace Ford, Edgar Buchanan, Peter Graves, Keith Larsen, Carl Benton Reid, John Smith, Walter Coy, Walter Sande, Bob Wilke, Jack Elam, Mae Clarke, Gene Wesson, Rayford Barnes",1955-07-03,2009-03-23,81.0,Allied Artists Pictures Co.,Fresh,100,7,67.0,359.0
Pete Seeger: The Power of Song,A social history through the life of one of this country's most significant folk artists of our time: Pete Seeger.,Pete Seeger: The Power of Song is both a tribute to a legendary singer and an informative account of the birth of American counterculture.,PG,"Documentary, Musical & Performing Arts, Special Interest",Jim Brown,,"Pete  Seeger, Bruce Springsteen, Natalie Maines, Tom Paxton, David Dunaway, Bess Lomax Hawes, Joan Baez, Ronnie Gilbert, Jerry Silverman, Henry Foner, Peter Yarrow, Mary Travers, Julian Bond, Tom Smothers, Bonnie Raitt, Johnny Cash",2007-04-29,2008-08-05,91.0,The Weinstein Company,Fresh,95,20,92.0,524.0
Baby Boom,"When a professional woman with a high-profile job ""inherits"" a 14-month-old baby girl from recently deceased relatives, she intends to put her up for adoption, but she discovers that she likes the kid and motherhood. So life begins to go through some massive changes.","Baby Boom struggles to impart its feminist ideals, but Diane Keaton's winsome leading work helps keep things breezily entertaining.",PG,"Comedy, Drama",Charles Shyer,"Nancy Meyers, Charles Shyer","Diane Keaton, Harold Ramis, Sam Shepard, James Spader, Zoë Wanamaker, Sam Wanamaker, Pat Hingle, Kristy Kennedy, Britt Leach, Mary Gross, Victoria Jackson, Annie Shyer, Linda Ellerbee, Kim Sebastian, Patricia Estrin, Elizabeth Ann Bennett, Peter Elbling, Peter Elbing, Shera Danese, Beverly Todd, Angel David, Nicholas Cascone, William Frankfather, Annie O'Donnell, Kristina Kennedy, George Petrie, Annie Golden, Michelle Kennedy, Jennifer Balgobin, Jack Hall, Dorothy Hall, Marianne Doherty, John C. Cooke, Carol Gillies, Dori Brenner, Jane Elliot, Ben Diskin, Paxton Whitehead, Constance Forslund, John Philbin, Hansford Rowe, Katherine Borowitz, Robin Bartlett, Chris Noth, Lisa Fuller, Mary Peters, Annie Meyers-Shyer",1987-10-07,2001-02-06,103.0,MGM Home Entertainment,Fresh,74,31,62.0,28434.0
The Grudge,"Karen is an exchange student studying social work in Japan who innocently agrees to cover for a nurse who didn't show up for work. When she enters the assigned home, she discovers an elderly American woman, Emma, who is lost in a catatonic state while the rest of the house appears deserted and disheveled. As she is tending to the stricken old woman, Karen hears scratching sounds from upstairs. When she investigates, she is faced with a supernatural horror more frightening than she could ever imagine. Within this house, a chain of terror has been set in motion resulting from a terrifying evil that was born years before. As more people die, Karen is pulled into the cycle of horror and learns the secret of the vengeful curse that has taken root in this house. Now she must stop it before it's too late.","There's some creepy imagery to be found, but not much in the way of logic or truly jarring scares.",PG-13,"Drama, Horror, Mystery & Suspense",Takashi Shimizu,Stephen Susco,"Sarah Michelle Gellar, Jason Behr, William Mapother, Clea DuVall, Takako Fuji, KaDee Strickland, Grace Zabriskie, Bill Pullman, Rosa Blasi, Ted Raimi, Ryo Ishibashi, Yuya Ozeki, Yoko Maki, Takashi Matsuyama, Hiroshi Matsunaga, Hajime Okayama, Yoshiyuki Morishita, Kazuyuki Tsumura, Jotaro Kitamura, Taigi Kobayashi, Junko Koizumi, Nana Koizumi, Yôichi Okamura",2004-10-22,2005-02-01,91.0,Sony Pictures Entertainment,Rotten,39,160,46.0,458612.0
Imperial Dreams,"A young father returns home from jail eager to care for his son and become a writer, but crime, poverty and a flawed system threaten his plans.",,NR,Drama,Malik Vitthal,"Malik Vitthal, Ismet Prcic","De'aundre Bonds, Glenn Plummer, John Boyega, Keke Palmer, Rotimi",,2017-02-03,87.0,Netflix,Fresh,92,12,83.0,622.0
